,Tipo de Ocorrência,id_ocorrencia
0,AMEAÇA,dee11b0c-46a6-45d0-ae67-b4888f3462b4
1,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,82035eed-02a4-46ee-ae40-b9fadb262339
2,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,d9704a54-fd7c-4dca-a2a6-e1ccebffc894
3,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,6d4e404c-be22-4507-a578-2286a1624c45
4,USUÁRIO DE ENTORPECENTE,11ba2de4-2e94-4cf2-912d-0d72d4bb648b
5,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,8091764e-1481-47dd-86aa-86d2b714843d
6,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,6282fb00-994a-407b-8a90-849edbae1098
7,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,c87a56b2-b782-4965-8f39-8d092d99f5c9
8,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,7ee1b522-cb2c-4264-8482-0d0315ccfeb4
9,ROUBO,ca814995-cd8d-49da-b752-627f6e6dc2b6
10,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,51272733-4348-4c9f-9607-5afed9976e77
11,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,5b71c6f0-1052-4ac2-87fe-68b90239dfba
12,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,9b7f3f41-1ee0-40a7-a466-a2e35ce7e15f
13,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,d5116692-17af-4629-ab24-440aa3967496
14,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,9f1d01ad-0efc-49e5-89a5-19d59ef21630
15,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,c86a40b4-f658-461c-84b2-26cae743e377
16,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,dca8d906-c4f5-4462-8f53-ac081681cf53
17,ROUBO,c75c77a4-f915-47a4-9b54-6bf97d564459
18,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,0acb2a07-1551-471e-a48e-b6501f214cd1
19,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,f07e6def-d971-4d49-ac5e-0b5bb96af2f0
20,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,e22f56e1-81d8-4ffb-8f3b-40991ef0ff4f
21,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,578da9e4-d5a3-4b2c-b63a-4eed23088e9e
22,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,6037b4ab-f6f4-49d5-a904-ca0167ee9906
23,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,4ad2141c-2aa9-4bc6-809f-f83d4807616c
24,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,92808a7b-3887-463d-a835-63f181fb5649
25,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,d4d33d3f-8329-4a8c-9bc1-c71cd1455ce1
26,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,3aea050f-eddf-406c-aa3f-3657c5c44958
27,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,af27afbc-790c-4e98-9985-6e79a44670d9
28,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,7ebe9e63-7294-4a74-b841-c39303186551
29,PERTURBAÇÃO DA TRANQUILIDADE,1b1582de-08a5-4a7b-a688-2d440d4afece
30,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,8dace357-4689-4c9f-8204-0ae367f93b2f
31,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,4abefd21-104c-4fb2-8c74-1bc2c779d58c
32,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,f74dd383-618e-4909-ae62-2acee17bc156
33,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,d4646349-d50b-4958-93ea-a6483aef284a
34,PERTURBAÇÃO DA TRANQUILIDADE,d1043652-0695-4c71-9cae-56eedbc0b822
35,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,a85ca81a-af2d-44ae-b92a-f6fb06bd927d
36,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,3942a57b-a5a8-4bdd-9000-07c26e0023ce
37,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,c2657fb9-d1a9-4371-bfff-51e03b9dafdb
38,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,6d1679c7-0550-4f7d-ab20-853a47634428
39,VIOLÊNCIA CONTRA A MULHER,189f70b9-a61b-4566-a075-383784f85ae8
40,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,834caf2f-b885-4252-9cfc-8be9507d8513
41,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,ee6bb2cd-9b7b-4e17-97b3-7d313963bc44
42,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,d442508d-5cbb-455f-86bb-10cf655559d2
43,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,a2dc2bc5-97a6-4d96-a879-2a584f6cbacf
44,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,f3e530ce-c33f-4803-8ddd-291a37cb1aaa
45,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,f7c4460e-7d87-4b5c-9971-c8c3185b5d64
46,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,621c5b8f-fb34-4317-b317-3fbe0018c129
47,PERTURBAÇÃO DA TRANQUILIDADE,64df1be8-c110-45d9-ae8b-6a02f17e6792
